,frame,time,cell number,voltage,resistance,current,power,temperature_1,temperature_2
0,1,0.0,cell_1,4.057,0.303,0.311,7.560409999999999,6353.6,6353.6
1,1,0.0,cell_2,4.053,0.302,0.311,7.560409999999999,6353.6,6353.6
2,1,0.0,cell_3,4.053,0.301,0.311,7.560409999999999,6353.6,6353.6
3,1,0.0,cell_4,4.049,0.301,0.311,7.560409999999999,6353.6,6353.6
4,1,0.0,cell_5,4.049,0.301,0.311,7.560409999999999,6353.6,6353.6
5,1,0.0,cell_6,4.049,0.302,0.311,7.560409999999999,6353.6,6353.6
6,1,0.0,cell_average,4.051666666666667,0.30166666666666664,0.311,7.560409999999999,6353.6,6353.6
7,2,1.0,cell_1,4.057,0.303,0.311,7.560099,6353.6,6353.6
8,2,1.0,cell_2,4.0520000000000005,0.302,0.311,7.560099,6353.6,6353.6
9,2,1.0,cell_3,4.053,0.301,0.311,7.560099,6353.6,6353.6
10,2,1.0,cell_4,4.049,0.301,0.311,7.560099,6353.6,6353.6
11,2,1.0,cell_5,4.049,0.301,0.311,7.560099,6353.6,6353.6
12,2,1.0,cell_6,4.049,0.302,0.311,7.560099,6353.6,6353.6
13,2,1.0,cell_average,4.0515,0.30166666666666664,0.311,7.560099,6353.6,6353.6
14,3,1.5,cell_1,4.057,0.303,0.311,7.559788,6353.6,6353.6
15,3,1.5,cell_2,4.0520000000000005,0.302,0.311,7.559788,6353.6,6353.6
16,3,1.5,cell_3,4.053,0.301,0.311,7.559788,6353.6,6353.6
17,3,1.5,cell_4,4.049,0.301,0.311,7.559788,6353.6,6353.6
18,3,1.5,cell_5,4.049,0.301,0.311,7.559788,6353.6,6353.6
19,3,1.5,cell_6,4.048,0.302,0.311,7.559788,6353.6,6353.6
20,3,1.5,cell_average,4.051333333333333,0.30166666666666664,0.311,7.559788,6353.6,6353.6
21,4,2.0,cell_1,4.057,0.303,0.311,7.560409999999999,6353.6,6353.6
22,4,2.0,cell_2,4.053,0.302,0.311,7.560409999999999,6353.6,6353.6
23,4,2.0,cell_3,4.053,0.301,0.311,7.560409999999999,6353.6,6353.6
24,4,2.0,cell_4,4.049,0.301,0.311,7.560409999999999,6353.6,6353.6
25,4,2.0,cell_5,4.049,0.301,0.311,7.560409999999999,6353.6,6353.6
26,4,2.0,cell_6,4.049,0.302,0.311,7.560409999999999,6353.6,6353.6
27,4,2.0,cell_average,4.051666666666667,0.30166666666666664,0.311,7.560409999999999,6353.6,6353.6
28,5,2.5,cell_1,4.057,0.303,0.311,7.559788,6353.6,6353.6
29,5,2.5,cell_2,4.0520000000000005,0.302,0.311,7.559788,6353.6,6353.6
30,5,2.5,cell_3,4.053,0.301,0.311,7.559788,6353.6,6353.6
31,5,2.5,cell_4,4.049,0.301,0.311,7.559788,6353.6,6353.6
32,5,2.5,cell_5,4.048,0.301,0.311,7.559788,6353.6,6353.6
33,5,2.5,cell_6,4.049,0.302,0.311,7.559788,6353.6,6353.6
34,5,2.5,cell_average,4.051333333333333,0.30166666666666664,0.311,7.559788,6353.6,6353.6
35,6,3.0,cell_1,4.057,0.303,0.311,7.559788,6353.6,6353.6
36,6,3.0,cell_2,4.0520000000000005,0.302,0.311,7.559788,6353.6,6353.6
37,6,3.0,cell_3,4.053,0.301,0.311,7.559788,6353.6,6353.6
38,6,3.0,cell_4,4.049,0.301,0.311,7.559788,6353.6,6353.6
39,6,3.0,cell_5,4.048,0.301,0.311,7.559788,6353.6,6353.6
40,6,3.0,cell_6,4.049,0.302,0.311,7.559788,6353.6,6353.6
41,6,3.0,cell_average,4.051333333333333,0.30166666666666664,0.311,7.559788,6353.6,6353.6
42,7,3.5,cell_1,4.057,0.303,0.311,7.559166000000001,6353.6,6353.6
43,7,3.5,cell_2,4.0520000000000005,0.302,0.311,7.559166000000001,6353.6,6353.6
44,7,3.5,cell_3,4.0520000000000005,0.301,0.311,7.559166000000001,6353.6,6353.6
45,7,3.5,cell_4,4.049,0.301,0.311,7.559166000000001,6353.6,6353.6
46,7,3.5,cell_5,4.048,0.301,0.311,7.559166000000001,6353.6,6353.6
47,7,3.5,cell_6,4.048,0.302,0.311,7.559166000000001,6353.6,6353.6
48,7,3.5,cell_average,4.051000000000001,0.30166666666666664,0.311,7.559166000000001,6353.6,6353.6
49,8,4.0,cell_1,4.057,0.303,0.311,7.559477,6353.6,6353.6
50,8,4.0,cell_2,4.0520000000000005,0.302,0.311,7.559477,6353.6,6353.6
