,frame,cell number,voltage,resistance,current,power
0,1,cell_1,3.94,0.305,5.993,139.678851
1,1,cell_2,3.939,0.304,5.993,139.678851
2,1,cell_3,3.936,0.303,5.993,139.678851
3,1,cell_4,3.7760000000000002,0.303,5.993,139.678851
4,1,cell_5,3.858,0.303,5.993,139.678851
5,1,cell_6,3.858,0.303,5.993,139.678851
6,1,cell_average,3.8844999999999996,0.30349999999999994,5.993,139.678851
7,2,cell_1,3.9370000000000003,0.305,5.915,137.78401
8,2,cell_2,3.935,0.304,5.915,137.78401
9,2,cell_3,3.93,0.303,5.915,137.78401
10,2,cell_4,3.7760000000000002,0.303,5.915,137.78401
11,2,cell_5,3.858,0.303,5.915,137.78401
12,2,cell_6,3.858,0.303,5.915,137.78401
13,2,cell_average,3.8823333333333334,0.30349999999999994,5.915,137.78401
14,3,cell_1,3.9370000000000003,0.305,5.993,139.600942
15,3,cell_2,3.935,0.304,5.993,139.600942
16,3,cell_3,3.93,0.303,5.993,139.600942
17,3,cell_4,3.7760000000000002,0.303,5.993,139.600942
18,3,cell_5,3.858,0.303,5.993,139.600942
19,3,cell_6,3.858,0.303,5.993,139.600942
20,3,cell_average,3.8823333333333334,0.30349999999999994,5.993,139.600942
21,4,cell_1,3.9370000000000003,0.305,5.993,139.51704
22,4,cell_2,3.935,0.304,5.993,139.51704
23,4,cell_3,3.931,0.303,5.993,139.51704
24,4,cell_4,3.77,0.303,5.993,139.51704
25,4,cell_5,3.855,0.303,5.993,139.51704
26,4,cell_6,3.852,0.303,5.993,139.51704
27,4,cell_average,3.8800000000000003,0.30349999999999994,5.993,139.51704
28,5,cell_1,3.9370000000000003,0.305,5.993,139.51704
29,5,cell_2,3.935,0.304,5.993,139.51704
30,5,cell_3,3.931,0.303,5.993,139.51704
31,5,cell_4,3.77,0.303,5.993,139.51704
32,5,cell_5,3.855,0.303,5.993,139.51704
33,5,cell_6,3.852,0.303,5.993,139.51704
34,5,cell_average,3.8800000000000003,0.30349999999999994,5.993,139.51704
35,6,cell_1,3.9370000000000003,0.305,5.993,139.505054
36,6,cell_2,3.934,0.304,5.993,139.505054
37,6,cell_3,3.93,0.303,5.993,139.505054
