,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
0,1,cell_1,4.054,0.315,0.0,0.0,22.6,22.5
1,1,cell_2,4.0600000000000005,0.312,0.0,0.0,22.6,22.5
2,1,cell_3,4.054,0.313,0.0,0.0,22.6,22.5
3,1,cell_4,4.031,0.313,0.0,0.0,22.6,22.5
4,1,cell_5,4.042,0.309,0.0,0.0,22.6,22.5
5,1,cell_6,4.041,0.312,0.0,0.0,22.6,22.5
6,1,cell_average,4.047,0.3123333333333333,0.0,0.0,22.6,22.5
7,2,cell_1,4.054,0.315,0.0,0.0,22.6,22.5
8,2,cell_2,4.059,0.312,0.0,0.0,22.6,22.5
9,2,cell_3,4.054,0.313,0.0,0.0,22.6,22.5
10,2,cell_4,4.03,0.313,0.0,0.0,22.6,22.5
11,2,cell_5,4.042,0.309,0.0,0.0,22.6,22.5
12,2,cell_6,4.041,0.312,0.0,0.0,22.6,22.5
13,2,cell_average,4.046666666666666,0.3123333333333333,0.0,0.0,22.6,22.5
14,3,cell_1,4.054,0.315,0.0,0.0,22.6,22.5
15,3,cell_2,4.059,0.312,0.0,0.0,22.6,22.5
16,3,cell_3,4.054,0.313,0.0,0.0,22.6,22.5
17,3,cell_4,4.03,0.313,0.0,0.0,22.6,22.5
18,3,cell_5,4.042,0.309,0.0,0.0,22.6,22.5
19,3,cell_6,4.041,0.312,0.0,0.0,22.6,22.5
20,3,cell_average,4.046666666666666,0.3123333333333333,0.0,0.0,22.6,22.5
21,4,cell_1,4.054,0.315,0.0,0.0,22.6,22.5
22,4,cell_2,4.059,0.312,0.0,0.0,22.6,22.5
23,4,cell_3,4.054,0.313,0.0,0.0,22.6,22.5
24,4,cell_4,4.033,0.313,0.0,0.0,22.6,22.5
25,4,cell_5,4.038,0.309,0.0,0.0,22.6,22.5
26,4,cell_6,4.042,0.312,0.0,0.0,22.6,22.5
27,4,cell_average,4.046666666666667,0.3123333333333333,0.0,0.0,22.6,22.5
28,5,cell_1,4.054,0.315,0.0,0.0,22.6,22.5
29,5,cell_2,4.059,0.312,0.0,0.0,22.6,22.5
30,5,cell_3,4.054,0.313,0.0,0.0,22.6,22.5
31,5,cell_4,4.033,0.313,0.0,0.0,22.6,22.5
32,5,cell_5,4.038,0.309,0.0,0.0,22.6,22.5
33,5,cell_6,4.042,0.312,0.0,0.0,22.6,22.5
34,5,cell_average,4.046666666666667,0.3123333333333333,0.0,0.0,22.6,22.5
35,6,cell_1,4.054,0.315,0.0,0.0,22.6,22.5
36,6,cell_2,4.059,0.312,0.0,0.0,22.6,22.5
37,6,cell_3,4.054,0.313,0.0,0.0,22.6,22.5
38,6,cell_4,4.033,0.313,0.0,0.0,22.6,22.5
39,6,cell_5,4.038,0.309,0.0,0.0,22.6,22.5
40,6,cell_6,4.042,0.312,0.0,0.0,22.6,22.5
41,6,cell_average,4.046666666666667,0.3123333333333333,0.0,0.0,22.6,22.5
42,7,cell_1,4.054,0.315,0.0,0.0,22.6,22.400000000000002
43,7,cell_2,4.055,0.312,0.0,0.0,22.6,22.400000000000002
44,7,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
45,7,cell_4,4.033,0.313,0.0,0.0,22.6,22.400000000000002
46,7,cell_5,4.038,0.309,0.0,0.0,22.6,22.400000000000002
47,7,cell_6,4.042,0.312,0.0,0.0,22.6,22.400000000000002
48,7,cell_average,4.046,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
49,8,cell_1,4.054,0.315,0.0,0.0,22.6,22.400000000000002
